"ID","Year","Title"
1,1995,"Toy Story"
2,1995,"Jumanji"
3,1995,"Grumpier Old Men"
4,1995,"Waiting to Exhale"
5,1995,"Father of the Bride Part II"
6,1995,"Heat"
7,1995,"Sabrina"
8,1995,"Tom and Huck"
9,1995,"Sudden Death"
10,1995,"GoldenEye"
11,1995,"American President, The"
12,1995,"Dracula: Dead and Loving It"
13,1995,"Balto"
14,1995,"Nixon"
15,1995,"Cutthroat Island"
16,1995,"Casino"
17,1995,"Sense and Sensibility"
18,1995,"Four Rooms"
19,1995,"Ace Ventura: When Nature Calls"
20,1995,"Money Train"
21,1995,"Get Shorty"
22,1995,"Copycat"
23,1995,"Assassins"
24,1995,"Powder"
25,1995,"Leaving Las Vegas"
26,1995,"Othello"
27,1995,"Now and Then"
28,1995,"Persuasion"
29,1995,"City of Lost Children, The"
30,1995,"Shanghai Triad"
31,1995,"Dangerous Minds"
32,1995,"Twelve Monkeys"
34,1995,"Babe"
35,1995,"Carrington"
36,1995,"Dead Man Walking"
37,1995,"Across the Sea of Time"
38,1995,"It Takes Two"
39,1995,"Clueless"
40,1995,"Cry, the Beloved Country"
41,1995,"Richard III"
42,1995,"Dead Presidents"
43,1995,"Restoration"
44,1995,"Mortal Kombat"
45,1995,"To Die For"
46,1995,"How to Make an American Quilt"
47,1995,"Seven"
48,1995,"Pocahontas"
49,1995,"When Night Is Falling"
50,1995,"Usual Suspects, The"
52,1995,"Mighty Aphrodite"
53,1994,"Lamerica"
54,1995,"Big Green, The"
55,1995,"Georgia"
57,1995,"Home for the Holidays"
58,1994,"Postman, The"
59,1995,"Confessional, The"
60,1995,"Indian in the Cupboard, The"
61,1996,"Eye for an Eye"
62,1995,"Mr. Holland's Opus"
63,1996,"Don't Be a Menace to South Central While Drinking Your Juice in the Hood"
64,1996,"Two if by Sea"
65,1996,"Bio-Dome"
66,1996,"Lawnmower Man 2: Beyond Cyberspace"
68,1995,"French Twist"
69,1995,"Friday"
70,1996,"From Dusk Till Dawn"
71,1995,"Fair Game"
72,1995,"Kicking and Screaming"
73,1995,"Misérables, Les"
74,1996,"Bed of Roses"
76,1995,"Screamers"
77,1995,"Nico Icon"
78,1995,"Crossing Guard, The"
79,1996,"Juror, The"
80,1995,"White Balloon, The"
81,1995,"Things to Do in Denver When You're Dead"
82,1995,"Antonia's Line"
83,1995,"Once Upon a Time... When We Were Colored"
84,1995,"Last Summer in the Hamptons"
85,1995,"Angels and Insects"
86,1996,"White Squall"
87,1996,"Dunston Checks In"
88,1996,"Black Sheep"
89,1995,"Nick of Time"
92,1996,"Mary Reilly"
93,1995,"Vampire in Brooklyn"
94,1996,"Beautiful Girls"
95,1996,"Broken Arrow"
96,1995,"In the Bleak Midwinter"
97,1995,"Hate"
98,1994,"Shopping"
99,1995,"Heidi Fleiss: Hollywood Madam"
100,1996,"City Hall"
101,1996,"Bottle Rocket"
102,1996,"Mr. Wrong"
103,1996,"Unforgettable"
104,1996,"Happy Gilmore"
105,1995,"Bridges of Madison County, The"
107,1996,"Muppet Treasure Island"
108,1996,"Catwalk"
110,1995,"Braveheart"
111,1976,"Taxi Driver"
112,1995,"Rumble in the Bronx"
113,1996,"Before and After"
114,1995,"Margaret's Museum"
116,1995,"Anne Frank Remembered"
117,1995,"Young Poisoner's Handbook, The"
118,1996,"If Lucy Fell"
119,1995,"Steal Big, Steal Little"
121,1992,"Boys of St. Vincent, The"
122,1992,"Boomerang"
123,1994,"Chungking Express"
124,1995,"Star Maker, The"
125,1996,"Flirting With Disaster"
126,1994,"NeverEnding Story III, The"
129,1996,"Pie in the Sky"
130,1995,"Angela"
131,1995,"Frankie Starlight"
132,1995,"Jade"
135,1996,"Down Periscope"
137,1995,"Man of the Year"
140,1996,"Up Close and Personal"
141,1996,"Birdcage, The"
144,1995,"Brothers McMullen, The"
145,1995,"Bad Boys"
146,1995,"Amazing Panda Adventure, The"
147,1995,"Basketball Diaries, The"
